CXOC J100047.7+020757    47 150.1989   2.132551 0.84  4.52E-04 5.52E-05  6.09E-15 7.44E-16   8.19 158.62   66.2  10.4 162.19  1.77E-04 3.41E-05  9.66E-16 1.86E-16   5.19 156.75   29.6   7.2 160.98  2.29E-04 4.10E-05  6.00E-15 1.08E-15   5.56 162.29   35.7   8.2 164.72   0.07  -0.15   0.27 
CXOC J100048.4+020735    48 150.20186  2.126401 0.32  8.41E-04 6.94E-05  1.13E-14 9.35E-16  12.09 166.68  167.1  15.  167.13  7.85E-04 6.61E-05  4.28E-15 3.60E-16  11.89 164.72  151.4  14.2 165.91  8.12E-05 2.56E-05  2.13E-15 6.71E-16   3.17 171.85   14.9   5.9 169.57  -0.82  -0.91  -0.71 
CXOC J100049.8+020500    50 150.20789  2.083386 0.1   1.16E-02 2.55E-04  1.56E-13 3.43E-15  45.48 162.54 1706.9  44.8 165.86  8.65E-03 2.21E-04  4.72E-14 1.20E-15  39.33 160.27 1288.3  39.  164.3   2.48E-03 1.18E-04  6.52E-14 3.09E-15  21.1  167.06  420.8  23.  169.07  -0.54  -0.57  -0.51 
CXOC J100053.8+020620    51 150.22432  2.105686 0.34  6.01E-04 6.19E-05  8.11E-15 8.34E-16   9.72 162.24  110.4  12.7 167.17  4.39E-04 5.11E-05  2.39E-15 2.78E-16   8.6  160.19   78.4  10.6 165.82  1.64E-04 3.60E-05  4.31E-15 9.44E-16   4.57 166.29   29.6   7.7 169.93  -0.46  -0.62  -0.3  
CXOC J100054.6+020652    52 150.2275   2.114612 0.38  8.30E-04 7.12E-05  1.12E-14 9.59E-16  11.68 163.05  159.3  14.8 163.54  5.43E-04 5.64E-05  2.96E-15 3.07E-16   9.64 161.03   98.7  11.7 162.15  3.23E-04 4.63E-05  8.48E-15 1.21E-15   7.01 167.05   64.7  10.2 166.6   -0.26  -0.39  -0.11 
CXOC J100122.4+020826    53 150.3436   2.140771 0.16  1.43E-03 8.59E-05  1.92E-14 1.16E-15  16.55 205.42  278.4  19.7 191.66  9.68E-04 6.83E-05  5.28E-15 3.72E-16  14.19 201.48  179.8  15.6 188.73  4.27E-04 5.18E-05  1.12E-14 1.36E-15   8.24 213.5    92.3  12.6 197.95  -0.38  -0.47  -0.29 
CXOC J100114.8+020208    54 150.31186  2.035761 0.13  3.63E-03 1.47E-04  4.89E-14 1.99E-15  24.57 155.09  519.   25.5 153.05  2.37E-03 1.19E-04  1.29E-14 6.49E-16  19.88 152.89  346.8  20.9 151.31  1.22E-03 8.63E-05  3.20E-14 2.27E-15  14.1  159.49  173.9  15.5 156.93  -0.31  -0.37  -0.24 
CXOC J100116.3+020318    55 150.31803  2.055207 0.22  1.23E-03 8.77E-05  1.66E-14 1.18E-15  14.07 158.68  195.7  16.4 157.37  7.07E-04 6.54E-05  3.86E-15 3.56E-16  10.84 156.64  118.4  12.8 155.84  4.85E-04 5.72E-05  1.27E-14 1.50E-15   8.47 162.72   79.1  11.2 160.79  -0.19  -0.31  -0.07 
CXOC J100117.6+020601    56 150.3234   2.100497 0.4   3.45E-04 4.95E-05  4.64E-15 6.68E-16   6.95 159.77   57.    9.8 162.49  2.11E-04 3.68E-05  1.15E-15 2.01E-16   5.72 157.78   32.9   7.5 160.91  1.51E-04 3.54E-05  3.97E-15 9.28E-16   4.28 163.69   23.2   7.2 165.91  -0.22  -0.43   0.01 
CXOC J100117.7+020520    57 150.32413  2.089067 0.47  4.77E-04 5.72E-05  6.43E-15 7.70E-16   8.35 157.1    70.8  10.6 157.68  2.66E-04 4.12E-05  1.45E-15 2.25E-16   6.44 155.17   38.8   7.9 156.21  1.98E-04 3.95E-05  5.21E-15 1.04E-15   5.01 160.91   32.    7.8 160.77  -0.19  -0.37   0.02 
CXOC J100118.4+020539    58 150.32686  2.094306 0.27  1.03E-03 7.91E-05  1.38E-14 1.07E-15  12.9  160.65  143.6  14.1 157.52  5.52E-04 5.73E-05  3.01E-15 3.12E-16   9.65 158.65   92.9  11.5 156.06  3.72E-04 4.96E-05  9.75E-15 1.30E-15   7.5  164.59   56.4   9.5 160.59  -0.2   -0.32  -0.05 
CXOC J100118.7+020730    59 150.32821  2.125152 0.17  9.02E-04 7.57E-05  1.22E-14 1.02E-15  11.96 160.54  142.7  14.3 162.84  6.58E-04 6.28E-05  3.59E-15 3.42E-16  10.5  158.27  106.7  12.3 160.96  2.06E-04 4.10E-05  5.40E-15 1.08E-15   5.   165.06   38.2   8.5 166.83  -0.52  -0.64  -0.39 
CXOC J100120.2+020341    60 150.33433  2.061413 0.29  1.02E-03 8.06E-05  1.38E-14 1.09E-15  12.66 154.38  158.9  14.8 155.88  6.20E-04 6.18E-05  3.38E-15 3.37E-16  10.03 152.4   103.   12.  154.35  4.19E-04 5.31E-05  1.10E-14 1.39E-15   7.91 158.31   57.1   9.6 159.02  -0.19  -0.32  -0.06 
CXOC J100129.6+020643    62 150.37359  2.112164 0.12  1.78E-03 1.06E-04  2.41E-14 1.43E-15  16.85 157.76  224.2  17.2 126.84  1.11E-03 8.24E-05  6.08E-15 4.49E-16  13.54 155.05  150.9  14.2 125.63  6.61E-04 6.70E-05  1.73E-14 1.76E-15   9.83 163.29   75.5  10.7 129.4   -0.24  -0.33  -0.14 
CXOC J100131.8+020616    63 150.38282  2.104631 0.25  4.14E-04 6.11E-05  5.57E-15 8.24E-16   6.76 158.55   59.4  10.8 159.72  2.36E-04 4.21E-05  1.29E-15 2.29E-16   5.63 155.66   33.    7.8 157.31  1.67E-04 4.48E-05  4.39E-15 1.17E-15   3.75 164.43   30.6   8.5 164.88  -0.2   -0.4    0.02 
CXOC J100127.5+020837    64 150.36472  2.143831 0.2   6.70E-04 7.56E-05  9.03E-15 1.02E-15   8.85 165.2   125.   14.3 148.04  4.35E-04 5.50E-05  2.37E-15 3.00E-16   7.9  161.74   77.9  10.9 145.18  2.38E-04 5.35E-05  6.24E-15 1.41E-15   4.43 172.37   46.   10.2 154.23  -0.29  -0.44  -0.13 
CXOC J100123.9+021446    65 150.3498   2.24619  0.11  1.72E-03 9.41E-05  2.32E-14 1.27E-15  18.27 193.83  342.1  21.4 195.01  1.15E-03 7.57E-05  6.30E-15 4.12E-16  15.29 190.29  227.5  17.3 192.08  5.54E-04 5.64E-05  1.45E-14 1.48E-15   9.8  201.08  118.9  13.8 201.18  -0.33  -0.42  -0.25 
CXOC J100130.7+021147    66 150.37813  2.196441 0.26  1.96E-03 1.07E-04  2.65E-14 1.44E-15  18.4  159.59  306.7  19.8 160.79  1.35E-03 8.84E-05  7.37E-15 4.82E-16  15.29 157.59  216.3  16.7 159.29  5.80E-04 5.88E-05  1.52E-14 1.54E-15   9.87 163.56   91.9  11.5 163.98  -0.39  -0.48  -0.3  
